1,  (0.0, -1.1102230246251565E-16) ,  (-0.0, -1.0) , 1.0, 20.0
2,  (0.0, -3.3306690738754696E-16) ,  (-0.0, -1.0) , 1.0, 20.000000000000004
3,  (0.0, -7.771561172376098E-16) ,  (-0.0, -1.0000000000000004) , 1.0, 20.000000000000014
4,  (0.0, -1.2212453270876728E-15) ,  (-0.0, -1.0000000000000009) , 1.0, 20.00000000000002
5,  (0.0, -1.2767564783189306E-15) ,  (-0.0, -1.0000000000000013) , 1.0, 20.00000000000002
6,  (0.0, -1.3877787807814465E-15) ,  (-0.0, -1.0000000000000013) , 1.0, 20.00000000000003
7,  (0.0, -1.83186799063151E-15) ,  (-0.0, -1.0000000000000013) , 1.0, 20.000000000000036
8,  (0.0, -1.9428902930940255E-15) ,  (-0.0, -1.0000000000000018) , 1.0, 20.000000000000036
9,  (0.0, -2.0539125955565416E-15) ,  (-0.0, -1.000000000000002) , 1.0, 20.00000000000004
10,  (0.0, -2.498001805406605E-15) ,  (-0.0, -1.000000000000002) , 1.0, 20.00000000000005
11,  (0.0, -2.7200464103316367E-15) ,  (-0.0, -1.0000000000000024) , 1.0, 20.000000000000053
12,  (0.0, -2.9420910152566688E-15) ,  (-0.0, -1.0000000000000027) , 1.0, 20.000000000000057
13,  (0.0, -3.053113317719185E-15) ,  (-0.0, -1.0000000000000029) , 1.0, 20.000000000000057
14,  (0.0, -3.164135620181701E-15) ,  (-0.0, -1.000000000000003) , 1.0, 20.000000000000064
15,  (0.0, -3.608224830031765E-15) ,  (-0.0, -1.000000000000003) , 1.0, 20.00000000000007
16,  (0.0, -3.719247132494281E-15) ,  (-0.0, -1.0000000000000036) , 1.0, 20.00000000000007
17,  (0.0, -3.830269434956797E-15) ,  (-0.0, -1.0000000000000038) , 1.0, 20.000000000000075
18,  (0.0, -4.274358644806861E-15) ,  (-0.0, -1.0000000000000038) , 1.0, 20.000000000000085
19,  (0.0, -4.4964032497318935E-15) ,  (-0.0, -1.0000000000000042) , 1.0, 20.00000000000009
20,  (0.0, -4.7184478546569256E-15) ,  (-0.0, -1.0000000000000044) , 1.0, 20.000000000000092
21,  (0.0, -4.829470157119442E-15) ,  (-0.0, -1.0000000000000047) , 1.0, 20.000000000000092
22,  (0.0, -4.9404924595819584E-15) ,  (-0.0, -1.0000000000000049) , 1.0, 20.0000000000001
23,  (0.0, -5.3845816694320234E-15) ,  (-0.0, -1.0000000000000049) , 1.0, 20.000000000000107
24,  (0.0, -5.49560397189454E-15) ,  (-0.0, -1.0000000000000053) , 1.0, 20.000000000000107
25,  (0.0, -5.606626274357056E-15) ,  (-0.0, -1.0000000000000056) , 1.0, 20.00000000000011
26,  (0.0, -6.050715484207121E-15) ,  (-0.0, -1.0000000000000056) , 1.0, 20.00000000000012
27,  (0.0, -6.272760089132154E-15) ,  (-0.0, -1.000000000000006) , 1.0, 20.000000000000124
